"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
known_contact_d2_hh_4,contact_day_2_household,,radio,"How long have you known this person?","0, Never met before | 1, Less than a year | 2, 1-2 years | 3, 3-5 years | 4, 6-10 years | 5, More than 10 years",,,,,,"[contact_id_d2_hh_4]=""1""",y,,,,,
contact_id_d2_hh_5,contact_day_2_household,,radio,"Did you have contact with [household_survey_arm_1][hh_member_name][5]?","0, No | 1, Yes",,,,,,"[household_survey_arm_1][hh_occupants] >= 5",y,,,,,
touch_contact_d2_hh_5,contact_day_2_household,,radio,"Did you touch?","0, No | 1, Yes | 2, Do not remember",,,,,,"[contact_id_d2_hh_5]=""1""",y,,,,,
where_contact_d2_hh_5,contact_day_2_household,,radio,"Did the contact occur indoors or outdoors?","0, Indoors | 1, Outdoors | 2, Both",,,,,,"[contact_id_d2_hh_5]=""1""",y,,,,,
location_contact_d2_hh_5,contact_day_2_household,,checkbox,"Where did you have the contact?","0, My home | 1, Other home | 2, School | 3, Work | 4, Transport/ Hub | 5, Market/Shop | 6, Street | 7, Well | 8, Agricultural Field | 9, Playground | 10, Place of worship | 11, Other",,,,,,"[contact_id_d2_hh_5]=""1""",y,,,,,
location_contact_other_d2_5,contact_day_2_household,,text,"If other location, please specify.",,,,,,,"[location_contact_d2_hh_5(12)]=""1""",y,,,,,
contact_mask_d2_hh_5,contact_day_2_household,,radio,"Was this individual wearing a mask when you had contact?","0, No, no mask was worn during the encounter | 1, Yes, for the entire encounter | 2, Yes, during parts of encounter | 3, I don't remember",,,,,,"[contact_id_d2_hh_5]=""1""",y,,,,,
duration_contact_d2_hh_5,contact_day_2_household,,radio,"What was the total time spent with the contact on this day?","0, < 5 mins | 1, 5-15 mins | 2, 16-30 mins | 3, 31 mins - 1 hr | 4, 1-4 hr | 5, >4 hrs",,,,,,"[contact_id_d2_hh_5]=""1""",y,,,,,
frequency_contact_d2_hh_5,contact_day_2_household,,radio,"In the past 6 months, how often have you had contact with this person?","0, Never met before (0) | 1, Rarely | 2, Daily or almost daily | 3, 1-3 times per week | 4, Once every 2 weeks | 5, Once per month | 6, Once every 3 months",,,,,,"[contact_id_d2_hh_5]=""1""",y,,,,,
known_contact_d2_hh_5,contact_day_2_household,,radio,"How long have you known this person?","0, Never met before | 1, Less than a year | 2, 1-2 years | 3, 3-5 years | 4, 6-10 years | 5, More than 10 years",,,,,,"[contact_id_d2_hh_5]=""1""",y,,,,,
contact_id_d2_hh_6,contact_day_2_household,,radio,"Did you have contact with [household_survey_arm_1][hh_member_name][6]?","0, No | 1, Yes",,,,,,"[household_survey_arm_1][hh_occupants] >= 6",y,,,,,
touch_contact_d2_hh_6,contact_day_2_household,,radio,"Did you touch?","0, No | 1, Yes | 2, Do not remember",,,,,,"[contact_id_d2_hh_6]=""1""",y,,,,,
where_contact_d2_hh_6,contact_day_2_household,,radio,"Did the contact occur indoors or outdoors?","0, Indoors | 1, Outdoors | 2, Both",,,,,,"[contact_id_d2_hh_6]=""1""",y,,,,,
location_contact_d2_hh_6,contact_day_2_household,,checkbox,"Where did you have the contact?","0, My home | 1, Other home | 2, School | 3, Work | 4, Transport/ Hub | 5, Market/Shop | 6, Street | 7, Well | 8, Agricultural Field | 9, Playground | 10, Place of worship | 11, Other",,,,,,"[contact_id_d2_hh_6]=""1""",y,,,,,
location_contact_other_d2_6,contact_day_2_household,,text,"If other location, please specify.",,,,,,,"[location_contact_d2_hh_6(12)]=""1""",y,,,,,
contact_mask_d2_hh_6,contact_day_2_household,,radio,"Was this individual wearing a mask when you had contact?","0, No, no mask was worn during the encounter | 1, Yes, for the entire encounter | 2, Yes, during parts of encounter | 3, I don't remember",,,,,,"[contact_id_d2_hh_6]=""1""",y,,,,,
duration_contact_d2_hh_6,contact_day_2_household,,radio,"What was the total time spent with the contact on this day?","0, < 5 mins | 1, 5-15 mins | 2, 16-30 mins | 3, 31 mins - 1 hr | 4, 1-4 hr | 5, >4 hrs",,,,,,"[contact_id_d2_hh_6]=""1""",y,,,,,
frequency_contact_d2_hh_6,contact_day_2_household,,radio,"In the past 6 months, how often have you had contact with this person?","0, Never met before (0) | 1, Rarely | 2, Daily or almost daily | 3, 1-3 times per week | 4, Once every 2 weeks | 5, Once per month | 6, Once every 3 months",,,,,,"[contact_id_d2_hh_6]=""1""",y,,,,,
known_contact_d2_hh_6,contact_day_2_household,,radio,"How long have you known this person?","0, Never met before | 1, Less than a year | 2, 1-2 years | 3, 3-5 years | 4, 6-10 years | 5, More than 10 years",,,,,,"[contact_id_d2_hh_6]=""1""",y,,,,,
contact_id_d2_hh_7,contact_day_2_household,,radio,"Did you have contact with [household_survey_arm_1][hh_member_name][7]?","0, No | 1, Yes",,,,,,"[household_survey_arm_1][hh_occupants] >= 7",y,,,,,
touch_contact_d2_hh_7,contact_day_2_household,,radio,"Did you touch?","0, No | 1, Yes | 2, Do not remember",,,,,,"[contact_id_d2_hh_7]=""1""",y,,,,,
where_contact_d2_hh_7,contact_day_2_household,,radio,"Did the contact occur indoors or outdoors?","0, Indoors | 1, Outdoors | 2, Both",,,,,,"[contact_id_d2_hh_7]=""1""",y,,,,,
location_contact_d2_hh_7,contact_day_2_household,,checkbox,"Where did you have the contact?","0, My home | 1, Other home | 2, School | 3, Work | 4, Transport/ Hub | 5, Market/Shop | 6, Street | 7, Well | 8, Agricultural Field | 9, Playground | 10, Place of worship | 11, Other",,,,,,"[contact_id_d2_hh_7]=""1""",y,,,,,
location_contact_other_d2_7,contact_day_2_household,,text,"If other location, please specify.",,,,,,,"[location_contact_d2_hh_7(12)]=""1""",y,,,,,
contact_mask_d2_hh_7,contact_day_2_household,,radio,"Was this individual wearing a mask when you had contact?","0, No, no mask was worn during the encounter | 1, Yes, for the entire encounter | 2, Yes, during parts of encounter | 3, I don't remember",,,,,,"[contact_id_d2_hh_7]=""1""",y,,,,,
duration_contact_d2_hh_7,contact_day_2_household,,radio,"What was the total time spent with the contact on this day?","0, < 5 mins | 1, 5-15 mins | 2, 16-30 mins | 3, 31 mins - 1 hr | 4, 1-4 hr | 5, >4 hrs",,,,,,"[contact_id_d2_hh_7]=""1""",y,,,,,
frequency_contact_d2_hh_7,contact_day_2_household,,radio,"In the past 6 months, how often have you had contact with this person?","0, Never met before (0) | 1, Rarely | 2, Daily or almost daily | 3, 1-3 times per week | 4, Once every 2 weeks | 5, Once per month | 6, Once every 3 months",,,,,,"[contact_id_d2_hh_7]=""1""",y,,,,,
known_contact_d2_hh_7,contact_day_2_household,,radio,"How long have you known this person?","0, Never met before | 1, Less than a year | 2, 1-2 years | 3, 3-5 years | 4, 6-10 years | 5, More than 10 years",,,,,,"[contact_id_d2_hh_7]=""1""",y,,,,,
contact_id_d2_hh_8,contact_day_2_household,,radio,"Did you have contact with [household_survey_arm_1][hh_member_name][8]?","0, No | 1, Yes",,,,,,"[household_survey_arm_1][hh_occupants] >= 8",y,,,,,
touch_contact_d2_hh_8,contact_day_2_household,,radio,"Did you touch?","0, No | 1, Yes | 2, Do not remember",,,,,,"[contact_id_d2_hh_8]=""1""",y,,,,,
where_contact_d2_hh_8,contact_day_2_household,,radio,"Did the contact occur indoors or outdoors?","0, Indoors | 1, Outdoors | 2, Both",,,,,,"[contact_id_d2_hh_8]=""1""",y,,,,,
location_contact_d2_hh_8,contact_day_2_household,,checkbox,"Where did you have the contact?","0, My home | 1, Other home | 2, School | 3, Work | 4, Transport/ Hub | 5, Market/Shop | 6, Street | 7, Well | 8, Agricultural Field | 9, Playground | 10, Place of worship | 11, Other",,,,,,"[contact_id_d2_hh_8]=""1""",y,,,,,
location_contact_other_d2_8,contact_day_2_household,,text,"If other location, please specify.",,,,,,,"[location_contact_d2_hh_8(12)]=""1""",y,,,,,
contact_mask_d2_hh_8,contact_day_2_household,,radio,"Was this individual wearing a mask when you had contact?","0, No, no mask was worn during the encounter | 1, Yes, for the entire encounter | 2, Yes, during parts of encounter | 3, I don't remember",,,,,,"[contact_id_d2_hh_8]=""1""",y,,,,,
duration_contact_d2_hh_8,contact_day_2_household,,radio,"What was the total time spent with the contact on this day?","0, < 5 mins | 1, 5-15 mins | 2, 16-30 mins | 3, 31 mins - 1 hr | 4, 1-4 hr | 5, >4 hrs",,,,,,"[contact_id_d2_hh_8]=""1""",y,,,,,
frequency_contact_d2_hh_8,contact_day_2_household,,radio,"In the past 6 months, how often have you had contact with this person?","0, Never met before (0) | 1, Rarely | 2, Daily or almost daily | 3, 1-3 times per week | 4, Once every 2 weeks | 5, Once per month | 6, Once every 3 months",,,,,,"[contact_id_d2_hh_8]=""1""",y,,,,,
known_contact_d2_hh_8,contact_day_2_household,,radio,"How long have you known this person?","0, Never met before | 1, Less than a year | 2, 1-2 years | 3, 3-5 years | 4, 6-10 years | 5, More than 10 years",,,,,,"[contact_id_d2_hh_8]=""1""",y,,,,,
contact_id_d2_hh_9,contact_day_2_household,,radio,"Did you have contact with [household_survey_arm_1][hh_member_name][9]?","0, No | 1, Yes",,,,,,"[household_survey_arm_1][hh_occupants] >= 9",y,,,,,
touch_contact_d2_hh_9,contact_day_2_household,,radio,"Did you touch?","0, No | 1, Yes | 2, Do not remember",,,,,,"[contact_id_d2_hh_9]=""1""",y,,,,,
where_contact_d2_hh_9,contact_day_2_household,,radio,"Did the contact occur indoors or outdoors?","0, Indoors | 1, Outdoors | 2, Both",,,,,,"[contact_id_d2_hh_9]=""1""",y,,,,,
location_contact_d2_hh_9,contact_day_2_household,,checkbox,"Where did you have the contact?","0, My home | 1, Other home | 2, School | 3, Work | 4, Transport/ Hub | 5, Market/Shop | 6, Street | 7, Well | 8, Agricultural Field | 9, Playground | 10, Place of worship | 11, Other",,,,,,"[contact_id_d2_hh_9]=""1""",y,,,,,
location_contact_other_d2_9,contact_day_2_household,,text,"If other location, please specify.",,,,,,,"[location_contact_d2_hh_9(12)]=""1""",y,,,,,
contact_mask_d2_hh_9,contact_day_2_household,,radio,"Was this individual wearing a mask when you had contact?","0, No, no mask was worn during the encounter | 1, Yes, for the entire encounter | 2, Yes, during parts of encounter | 3, I don't remember",,,,,,"[contact_id_d2_hh_9]=""1""",y,,,,,
duration_contact_d2_hh_9,contact_day_2_household,,radio,"What was the total time spent with the contact on this day?","0, < 5 mins | 1, 5-15 mins | 2, 16-30 mins | 3, 31 mins - 1 hr | 4, 1-4 hr | 5, >4 hrs",,,,,,"[contact_id_d2_hh_9]=""1""",y,,,,,
frequency_contact_d2_hh_9,contact_day_2_household,,radio,"In the past 6 months, how often have you had contact with this person?","0, Never met before (0) | 1, Rarely | 2, Daily or almost daily | 3, 1-3 times per week | 4, Once every 2 weeks | 5, Once per month | 6, Once every 3 months",,,,,,"[contact_id_d2_hh_9]=""1""",y,,,,,
known_contact_d2_hh_9,contact_day_2_household,,radio,"How long have you known this person?","0, Never met before | 1, Less than a year | 2, 1-2 years | 3, 3-5 years | 4, 6-10 years | 5, More than 10 years",,,,,,"[contact_id_d2_hh_9]=""1""",y,,,,,
contact_id_d2_hh_10,contact_day_2_household,,radio,"Did you have contact with [household_survey_arm_1][hh_member_name][10]?","0, No | 1, Yes",,,,,,"[household_survey_arm_1][hh_occupants] >= 10",y,,,,,
touch_contact_d2_hh_10,contact_day_2_household,,radio,"Did you touch?","0, No | 1, Yes | 2, Do not remember",,,,,,"[contact_id_d2_hh_10]=""1""",y,,,,,
where_contact_d2_hh_10,contact_day_2_household,,radio,"Did the contact occur indoors or outdoors?","0, Indoors | 1, Outdoors | 2, Both",,,,,,"[contact_id_d2_hh_10]=""1""",y,,,,,
location_contact_d2_hh_10,contact_day_2_household,,checkbox,"Where did you have the contact?","0, My home | 1, Other home | 2, School | 3, Work | 4, Transport/ Hub | 5, Market/Shop | 6, Street | 7, Well | 8, Agricultural Field | 9, Playground | 10, Place of worship | 11, Other",,,,,,"[contact_id_d2_hh_10]=""1""",y,,,,,
location_contact_other_d2_10,contact_day_2_household,,text,"If other location, please specify.",,,,,,,"[location_contact_d2_hh_10(12)]=""1""",y,,,,,
contact_mask_d2_hh_10,contact_day_2_household,,radio,"Was this individual wearing a mask when you had contact?","0, No, no mask was worn during the encounter | 1, Yes, for the entire encounter | 2, Yes, during parts of encounter | 3, I don't remember",,,,,,"[contact_id_d2_hh_10]=""1""",y,,,,,
duration_contact_d2_hh_10,contact_day_2_household,,radio,"What was the total time spent with the contact on this day?","0, < 5 mins | 1, 5-15 mins | 2, 16-30 mins | 3, 31 mins - 1 hr | 4, 1-4 hr | 5, >4 hrs",,,,,,"[contact_id_d2_hh_10]=""1""",y,,,,,
frequency_contact_d2_hh_10,contact_day_2_household,,radio,"In the past 6 months, how often have you had contact with this person?","0, Never met before (0) | 1, Rarely | 2, Daily or almost daily | 3, 1-3 times per week | 4, Once every 2 weeks | 5, Once per month | 6, Once every 3 months",,,,,,"[contact_id_d2_hh_10]=""1""",y,,,,,
known_contact_d2_hh_10,contact_day_2_household,,radio,"How long have you known this person?","0, Never met before | 1, Less than a year | 2, 1-2 years | 3, 3-5 years | 4, 6-10 years | 5, More than 10 years",,,,,,"[contact_id_d2_hh_10]=""1""",y,,,,,
contact_id_d2_hh_11,contact_day_2_household,,radio,"Did you have contact with [household_survey_arm_1][hh_member_name][11]?","0, No | 1, Yes",,,,,,"[household_survey_arm_1][hh_occupants] >= 11",y,,,,,
touch_contact_d2_hh_11,contact_day_2_household,,radio,"Did you touch?","0, No | 1, Yes | 2, Do not remember",,,,,,"[contact_id_d2_hh_11]=""1""",y,,,,,
where_contact_d2_hh_11,contact_day_2_household,,radio,"Did the contact occur indoors or outdoors?","0, Indoors | 1, Outdoors | 2, Both",,,,,,"[contact_id_d2_hh_11]=""1""",y,,,,,
location_contact_d2_hh_11,contact_day_2_household,,checkbox,"Where did you have the contact?","0, My home | 1, Other home | 2, School | 3, Work | 4, Transport/ Hub | 5, Market/Shop | 6, Street | 7, Well | 8, Agricultural Field | 9, Playground | 10, Place of worship | 11, Other",,,,,,"[contact_id_d2_hh_11]=""1""",y,,,,,
location_contact_other_d2_11,contact_day_2_household,,text,"If other location, please specify.",,,,,,,"[location_contact_d2_hh_11(12)]=""1""",y,,,,,
contact_mask_d2_hh_11,contact_day_2_household,,radio,"Was this individual wearing a mask when you had contact?","0, No, no mask was worn during the encounter | 1, Yes, for the entire encounter | 2, Yes, during parts of encounter | 3, I don't remember",,,,,,"[contact_id_d2_hh_11]=""1""",y,,,,,
duration_contact_d2_hh_11,contact_day_2_household,,radio,"What was the total time spent with the contact on this day?","0, < 5 mins | 1, 5-15 mins | 2, 16-30 mins | 3, 31 mins - 1 hr | 4, 1-4 hr | 5, >4 hrs",,,,,,"[contact_id_d2_hh_11]=""1""",y,,,,,
frequency_contact_d2_hh_11,contact_day_2_household,,radio,"In the past 6 months, how often have you had contact with this person?","0, Never met before (0) | 1, Rarely | 2, Daily or almost daily | 3, 1-3 times per week | 4, Once every 2 weeks | 5, Once per month | 6, Once every 3 months",,,,,,"[contact_id_d2_hh_11]=""1""",y,,,,,
known_contact_d2_hh_11,contact_day_2_household,,radio,"How long have you known this person?","0, Never met before | 1, Less than a year | 2, 1-2 years | 3, 3-5 years | 4, 6-10 years | 5, More than 10 years",,,,,,"[contact_id_d2_hh_11]=""1""",y,,,,,
contact_id_d2_hh_12,contact_day_2_household,,radio,"Did you have contact with [household_survey_arm_1][hh_member_name][12]?","0, No | 1, Yes",,,,,,"[household_survey_arm_1][hh_occupants] >= 12",y,,,,,
touch_contact_d2_hh_12,contact_day_2_household,,radio,"Did you touch?","0, No | 1, Yes | 2, Do not remember",,,,,,"[contact_id_d2_hh_12]=""1""",y,,,,,
where_contact_d2_hh_12,contact_day_2_household,,radio,"Did the contact occur indoors or outdoors?","0, Indoors | 1, Outdoors | 2, Both",,,,,,"[contact_id_d2_hh_12]=""1""",y,,,,,
location_contact_d2_hh_12,contact_day_2_household,,checkbox,"Where did you have the contact?","0, My home | 1, Other home | 2, School | 3, Work | 4, Transport/ Hub | 5, Market/Shop | 6, Street | 7, Well | 8, Agricultural Field | 9, Playground | 10, Place of worship | 11, Other",,,,,,"[contact_id_d2_hh_12]=""1""",y,,,,,
location_contact_other_d2_12,contact_day_2_household,,text,"If other location, please specify.",,,,,,,"[location_contact_d2_hh_12(12)]=""1""",y,,,,,
contact_mask_d2_hh_12,contact_day_2_household,,radio,"Was this individual wearing a mask when you had contact?","0, No, no mask was worn during the encounter | 1, Yes, for the entire encounter | 2, Yes, during parts of encounter | 3, I don't remember",,,,,,"[contact_id_d2_hh_12]=""1""",y,,,,,
duration_contact_d2_hh_12,contact_day_2_household,,radio,"What was the total time spent with the contact on this day?","0, < 5 mins | 1, 5-15 mins | 2, 16-30 mins | 3, 31 mins - 1 hr | 4, 1-4 hr | 5, >4 hrs",,,,,,"[contact_id_d2_hh_12]=""1""",y,,,,,
frequency_contact_d2_hh_12,contact_day_2_household,,radio,"In the past 6 months, how often have you had contact with this person?","0, Never met before (0) | 1, Rarely | 2, Daily or almost daily | 3, 1-3 times per week | 4, Once every 2 weeks | 5, Once per month | 6, Once every 3 months",,,,,,"[contact_id_d2_hh_12]=""1""",y,,,,,
known_contact_d2_hh_12,contact_day_2_household,,radio,"How long have you known this person?","0, Never met before | 1, Less than a year | 2, 1-2 years | 3, 3-5 years | 4, 6-10 years | 5, More than 10 years",,,,,,"[contact_id_d2_hh_12]=""1""",y,,,,,
contact_id_d2_hh_13,contact_day_2_household,,radio,"Did you have contact with [household_survey_arm_1][hh_member_name][13]?","0, No | 1, Yes",,,,,,"[household_survey_arm_1][hh_occupants] >= 13",y,,,,,
touch_contact_d2_hh_13,contact_day_2_household,,radio,"Did you touch?","0, No | 1, Yes | 2, Do not remember",,,,,,"[contact_id_d2_hh_13]=""1""",y,,,,,
where_contact_d2_hh_13,contact_day_2_household,,radio,"Did the contact occur indoors or outdoors?","0, Indoors | 1, Outdoors | 2, Both",,,,,,"[contact_id_d2_hh_13]=""1""",y,,,,,
location_contact_d2_hh_13,contact_day_2_household,,checkbox,"Where did you have the contact?","0, My home | 1, Other home | 2, School | 3, Work | 4, Transport/ Hub | 5, Market/Shop | 6, Street | 7, Well | 8, Agricultural Field | 9, Playground | 10, Place of worship | 11, Other",,,,,,"[contact_id_d2_hh_13]=""1""",y,,,,,
location_contact_other_d2_13,contact_day_2_household,,text,"If other location, please specify.",,,,,,,"[location_contact_d2_hh_13(12)]=""1""",y,,,,,
contact_mask_d2_hh_13,contact_day_2_household,,radio,"Was this individual wearing a mask when you had contact?","0, No, no mask was worn during the encounter | 1, Yes, for the entire encounter | 2, Yes, during parts of encounter | 3, I don't remember",,,,,,"[contact_id_d2_hh_13]=""1""",y,,,,,
duration_contact_d2_hh_13,contact_day_2_household,,radio,"What was the total time spent with the contact on this day?","0, < 5 mins | 1, 5-15 mins | 2, 16-30 mins | 3, 31 mins - 1 hr | 4, 1-4 hr | 5, >4 hrs",,,,,,"[contact_id_d2_hh_13]=""1""",y,,,,,
frequency_contact_d2_hh_13,contact_day_2_household,,radio,"In the past 6 months, how often have you had contact with this person?","0, Never met before (0) | 1, Rarely | 2, Daily or almost daily | 3, 1-3 times per week | 4, Once every 2 weeks | 5, Once per month | 6, Once every 3 months",,,,,,"[contact_id_d2_hh_13]=""1""",y,,,,,
known_contact_d2_hh_13,contact_day_2_household,,radio,"How long have you known this person?","0, Never met before | 1, Less than a year | 2, 1-2 years | 3, 3-5 years | 4, 6-10 years | 5, More than 10 years",,,,,,"[contact_id_d2_hh_13]=""1""",y,,,,,
contact_id_d2_hh_14,contact_day_2_household,,radio,"Did you have contact with [household_survey_arm_1][hh_member_name][14]?","0, No | 1, Yes",,,,,,"[household_survey_arm_1][hh_occupants] >= 14",y,,,,,
touch_contact_d2_hh_14,contact_day_2_household,,radio,"Did you touch?","0, No | 1, Yes | 2, Do not remember",,,,,,"[contact_id_d2_hh_14]=""1""",y,,,,,
where_contact_d2_hh_14,contact_day_2_household,,radio,"Did the contact occur indoors or outdoors?","0, Indoors | 1, Outdoors | 2, Both",,,,,,"[contact_id_d2_hh_14]=""1""",y,,,,,
location_contact_d2_hh_14,contact_day_2_household,,checkbox,"Where did you have the contact?","0, My home | 1, Other home | 2, School | 3, Work | 4, Transport/ Hub | 5, Market/Shop | 6, Street | 7, Well | 8, Agricultural Field | 9, Playground | 10, Place of worship | 11, Other",,,,,,"[contact_id_d2_hh_14]=""1""",y,,,,,
location_contact_other_d2_14,contact_day_2_household,,text,"If other location, please specify.",,,,,,,"[location_contact_d2_hh_14(12)]=""1""",y,,,,,
contact_mask_d2_hh_14,contact_day_2_household,,radio,"Was this individual wearing a mask when you had contact?","0, No, no mask was worn during the encounter | 1, Yes, for the entire encounter | 2, Yes, during parts of encounter | 3, I don't remember",,,,,,"[contact_id_d2_hh_14]=""1""",y,,,,,
duration_contact_d2_hh_14,contact_day_2_household,,radio,"What was the total time spent with the contact on this day?","0, < 5 mins | 1, 5-15 mins | 2, 16-30 mins | 3, 31 mins - 1 hr | 4, 1-4 hr | 5, >4 hrs",,,,,,"[contact_id_d2_hh_14]=""1""",y,,,,,
frequency_contact_d2_hh_14,contact_day_2_household,,radio,"In the past 6 months, how often have you had contact with this person?","0, Never met before (0) | 1, Rarely | 2, Daily or almost daily | 3, 1-3 times per week | 4, Once every 2 weeks | 5, Once per month | 6, Once every 3 months",,,,,,"[contact_id_d2_hh_14]=""1""",y,,,,,
known_contact_d2_hh_14,contact_day_2_household,,radio,"How long have you known this person?","0, Never met before | 1, Less than a year | 2, 1-2 years | 3, 3-5 years | 4, 6-10 years | 5, More than 10 years",,,,,,"[contact_id_d2_hh_14]=""1""",y,,,,,
contact_id_d2_hh_15,contact_day_2_household,,radio,"Did you have contact with [household_survey_arm_1][hh_member_name][15]?","0, No | 1, Yes",,,,,,"[household_survey_arm_1][hh_occupants] >= 15",y,,,,,
touch_contact_d2_hh_15,contact_day_2_household,,radio,"Did you touch?","0, No | 1, Yes | 2, Do not remember",,,,,,"[contact_id_d2_hh_15]=""1""",y,,,,,
where_contact_d2_hh_15,contact_day_2_household,,radio,"Did the contact occur indoors or outdoors?","0, Indoors | 1, Outdoors | 2, Both",,,,,,"[contact_id_d2_hh_15]=""1""",y,,,,,
location_contact_d2_hh_15,contact_day_2_household,,checkbox,"Where did you have the contact?","0, My home | 1, Other home | 2, School | 3, Work | 4, Transport/ Hub | 5, Market/Shop | 6, Street | 7, Well | 8, Agricultural Field | 9, Playground | 10, Place of worship | 11, Other",,,,,,"[contact_id_d2_hh_15]=""1""",y,,,,,
location_contact_other_d2_15,contact_day_2_household,,text,"If other location, please specify.",,,,,,,"[location_contact_d2_hh_15(12)]=""1""",y,,,,,
contact_mask_d2_hh_15,contact_day_2_household,,radio,"Was this individual wearing a mask when you had contact?","0, No, no mask was worn during the encounter | 1, Yes, for the entire encounter | 2, Yes, during parts of encounter | 3, I don't remember",,,,,,"[contact_id_d2_hh_15]=""1""",y,,,,,
duration_contact_d2_hh_15,contact_day_2_household,,radio,"What was the total time spent with the contact on this day?","0, < 5 mins | 1, 5-15 mins | 2, 16-30 mins | 3, 31 mins - 1 hr | 4, 1-4 hr | 5, >4 hrs",,,,,,"[contact_id_d2_hh_15]=""1""",y,,,,,
frequency_contact_d2_hh_15,contact_day_2_household,,radio,"In the past 6 months, how often have you had contact with this person?","0, Never met before (0) | 1, Rarely | 2, Daily or almost daily | 3, 1-3 times per week | 4, Once every 2 weeks | 5, Once per month | 6, Once every 3 months",,,,,,"[contact_id_d2_hh_15]=""1""",y,,,,,
known_contact_d2_hh_15,contact_day_2_household,,radio,"How long have you known this person?","0, Never met before | 1, Less than a year | 2, 1-2 years | 3, 3-5 years | 4, 6-10 years | 5, More than 10 years",,,,,,"[contact_id_d2_hh_15]=""1""",y,,,,,
contact_id_d2_hh_16,contact_day_2_household,,radio,"Did you have contact with [household_survey_arm_1][hh_member_name][16]?","0, No | 1, Yes",,,,,,"[household_survey_arm_1][hh_occupants] >= 16",y,,,,,
touch_contact_d2_hh_16,contact_day_2_household,,radio,"Did you touch?","0, No | 1, Yes | 2, Do not remember",,,,,,"[contact_id_d2_hh_16]=""1""",y,,,,,
where_contact_d2_hh_16,contact_day_2_household,,radio,"Did the contact occur indoors or outdoors?","0, Indoors | 1, Outdoors | 2, Both",,,,,,"[contact_id_d2_hh_16]=""1""",y,,,,,
location_contact_d2_hh_16,contact_day_2_household,,checkbox,"Where did you have the contact?","0, My home | 1, Other home | 2, School | 3, Work | 4, Transport/ Hub | 5, Market/Shop | 6, Street | 7, Well | 8, Agricultural Field | 9, Playground | 10, Place of worship | 11, Other",,,,,,"[contact_id_d2_hh_16]=""1""",y,,,,,
location_contact_other_d2_16,contact_day_2_household,,text,"If other location, please specify.",,,,,,,"[location_contact_d2_hh_16(12)]=""1""",y,,,,,
contact_mask_d2_hh_16,contact_day_2_household,,radio,"Was this individual wearing a mask when you had contact?","0, No, no mask was worn during the encounter | 1, Yes, for the entire encounter | 2, Yes, during parts of encounter | 3, I don't remember",,,,,,"[contact_id_d2_hh_16]=""1""",y,,,,,
duration_contact_d2_hh_16,contact_day_2_household,,radio,"What was the total time spent with the contact on this day?","0, < 5 mins | 1, 5-15 mins | 2, 16-30 mins | 3, 31 mins - 1 hr | 4, 1-4 hr | 5, >4 hrs",,,,,,"[contact_id_d2_hh_16]=""1""",y,,,,,
frequency_contact_d2_hh_16,contact_day_2_household,,radio,"In the past 6 months, how often have you had contact with this person?","0, Never met before (0) | 1, Rarely | 2, Daily or almost daily | 3, 1-3 times per week | 4, Once every 2 weeks | 5, Once per month | 6, Once every 3 months",,,,,,"[contact_id_d2_hh_16]=""1""",y,,,,,
known_contact_d2_hh_16,contact_day_2_household,,radio,"How long have you known this person?","0, Never met before | 1, Less than a year | 2, 1-2 years | 3, 3-5 years | 4, 6-10 years | 5, More than 10 years",,,,,,"[contact_id_d2_hh_16]=""1""",y,,,,,
contact_id_d2_hh_17,contact_day_2_household,,radio,"Did you have contact with [household_survey_arm_1][hh_member_name][17]?","0, No | 1, Yes",,,,,,"[household_survey_arm_1][hh_occupants] >= 17",y,,,,,
touch_contact_d2_hh_17,contact_day_2_household,,radio,"Did you touch?","0, No | 1, Yes | 2, Do not remember",,,,,,"[contact_id_d2_hh_17]=""1""",y,,,,,
where_contact_d2_hh_17,contact_day_2_household,,radio,"Did the contact occur indoors or outdoors?","0, Indoors | 1, Outdoors | 2, Both",,,,,,"[contact_id_d2_hh_17]=""1""",y,,,,,
location_contact_d2_hh_17,contact_day_2_household,,checkbox,"Where did you have the contact?","0, My home | 1, Other home | 2, School | 3, Work | 4, Transport/ Hub | 5, Market/Shop | 6, Street | 7, Well | 8, Agricultural Field | 9, Playground | 10, Place of worship | 11, Other",,,,,,"[contact_id_d2_hh_17]=""1""",y,,,,,
location_contact_other_d2_17,contact_day_2_household,,text,"If other location, please specify.",,,,,,,"[location_contact_d2_hh_17(12)]=""1""",y,,,,,
contact_mask_d2_hh_17,contact_day_2_household,,radio,"Was this individual wearing a mask when you had contact?","0, No, no mask was worn during the encounter | 1, Yes, for the entire encounter | 2, Yes, during parts of encounter | 3, I don't remember",,,,,,"[contact_id_d2_hh_17]=""1""",y,,,,,
duration_contact_d2_hh_17,contact_day_2_household,,radio,"What was the total time spent with the contact on this day?","0, < 5 mins | 1, 5-15 mins | 2, 16-30 mins | 3, 31 mins - 1 hr | 4, 1-4 hr | 5, >4 hrs",,,,,,"[contact_id_d2_hh_17]=""1""",y,,,,,
